NAME,Prob,C,FACTOR,UNITS,DESC,SOURCE,SYM,DIST,PARM2(EF),CCF GROUP,LINK,EQUATION,NOTES,LOCATE,MTIME,TYPE,RATE,U,RATEDIST,RATEEF,STYLE,Support,ModelNotes,Template,SeedValue,Constituents,LoopMarker,Badges,SupportedBy,Attachments,TemplateName
4MOD-F-1,0.27,0,0.27,,4 modules probability,,U,,,,,,,,,,,,,,,,,,,,,,,,
4MOD-LOOP-F-1,0.27,0,0.27,,4 modules probability,,U,,,,,,,,,,,,,,,,,,,,,,,,
4MOD-S-1,0.21,0,0.21,,4 modules probability,,U,P,,,,,,,,,,,,,,,,,,,,,,,
A4,0.01,0,1E-2,,Helium storage and transfer subsystem failure,,U,,,,,,,,,,,,,,,,,,,,,,,,
A5,0.01,0,1E-2,,HPS fails to operate,,U,,,,,,,,,,,,,,,,,,,,,,,,
A6,0.01,0,1E-2,,HPS not available,,U,,,,,,,,,,,,,,,,,,,,,,,,
A8,2.999955E-05,3,DEMAND,,PPIS fails to actuate,,U,,,,,,,,,PPIS-SCS,,,,,,,,,,,,,,,
AR-D,0.004826757,0,0.0048267571,,Key Alarm Not Attended to,,B,,,,,,,,,,,,,,,,,,,,,,,,
AR-N,2.4E-05,0,2.4E-5,,Key Alarm Not Attended to,,B,,,,,,,,,,,,,,,,,,,,,,,,
B10,8.759616E-05,3,IE-YEAR,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B11,8.759616E-05,3,IE-YEAR,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B12,8.759616E-05,3,IE-YEAR,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B13,8.759616E-05,3,IE-YEAR,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B14,8.759616E-05,3,IE-YEAR,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B15,9.9995E-05,3,DEMAND,,Main tanks non-isolable,,U,,,,,,,,,B6-VLVE-HEMOVISOLATE-FTO,,,,,,,,,,,,,,,
B16,9.9995E-05,3,DEMAND,,Reserved tanks isolated,,U,,,,,,,,,B6-VLVE-HEMOVISOLATE-FTO,,,,,,,,,,,,,,,
B18,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B19,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B20,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B21,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B22,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B23,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B24,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B25,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B26,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B27,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B28,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B29,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B30,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B31,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B32,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B33,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B34,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B35,1.43999E-05,3,STANDBY-IE,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B37-1,0.2311043,3,IE-YEAR,,compressor,,U,,,,,,,,,B1-ED-CONTROL-FTO,,,,,,,,,,,,,,,
B37-2,0.2311043,3,IE-YEAR,,helium circulators Electric motor driven - control system - fail to operate,,U,,,,,,,,,B1-ED-CONTROL-FTO,,,,,,,,,,,,,,,
B38-1,0.02593769,3,IE-YEAR,,outlet valve isolated,,U,,,,,,,,,B6-VLVE-HEMOVISOLATE-SOP,,,,,,,,,,,,,,,
B38-2,0.02593769,3,IE-YEAR,,valves - motor operated helium isolation ring valve with redundant motors - spur,,U,,,,,,,,,B6-VLVE-HEMOVISOLATE-SOP,,,,,,,,,,,,,,,
B39-1,0.02593769,3,IE-YEAR,,inlet valve isolated,,U,,,,,,,,,B6-VLVE-HEMOVISOLATE-SOP,,,,,,,,,,,,,,,
B39-2,0.02593769,3,IE-YEAR,,valves - motor operated helium isolation ring valve with redundant motors - spur,,U,,,,,,,,,B6-VLVE-HEMOVISOLATE-SOP,,,,,,,,,,,,,,,
B6,8.759616E-05,3,IE-YEAR,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B7,8.759616E-05,3,IE-YEAR,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B8,8.759616E-05,3,IE-YEAR,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
B9,8.759616E-05,3,IE-YEAR,,HP Helium Storage Tanks,,U,,,,,,,,,B4-TNK-GENERAL-ALL,,,,,,,,,,,,,,,
CHANNEL-1/N_1_2,3.56E-05,,3.56E-05,,CCF of two components: ISOLATE-SIGNAL-1/N-A & ISOLATE-SIGNAL-1/N-B,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-SIGNAL-1/N-A,ISOLATE-SIGNAL-1/N-B",,,,,
CHANNEL-2/3_1_2,3.56E-05,,3.56E-05,,CCF of two components: ISOLATE-SIGNAL-2/3-A & ISOLATE-SIGNAL-2/3-B,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-SIGNAL-2/3-A,ISOLATE-SIGNAL-2/3-B",,,,,
CNDNSR-PUMP-FTS_1_2,0.04952,,4.952E-02,,CCF of two components: X15-1 & X15-2,,Y,,,,,,,,,,,,,,,,,,,"X15-1,X15-2",,,,,
CNDNSR-PUMP-FTS_1_3,0.04952,,4.952E-02,,CCF of two components: X15-1 & X15-MT1,,Y,,,,,,,,,,,,,,,,,,,"X15-1,X15-MT1",,,,,
CNDNSR-PUMP-FTS_1_4,0.04952,,4.952E-02,,CCF of two components: X15-1 & X15-MT2,,Y,,,,,,,,,,,,,,,,,,,"X15-1,X15-MT2",,,,,
CNDNSR-PUMP-FTS_1_5,0.04952,,4.952E-02,,CCF of two components: X15-1 & X16A-1,,Y,,,,,,,,,,,,,,,,,,,"X15-1,X16A-1",,,,,
CNDNSR-PUMP-FTS_1_6,0.04952,,4.952E-02,,CCF of two components: X15-1 & X16A-2,,Y,,,,,,,,,,,,,,,,,,,"X15-1,X16A-2",,,,,
CNDNSR-PUMP-FTS_1_7,0.04952,,4.952E-02,,CCF of two components: X15-1 & X16A-MT1,,Y,,,,,,,,,,,,,,,,,,,"X15-1,X16A-MT1",,,,,
CNDNSR-PUMP-FTS_1_8,0.04952,,4.952E-02,,CCF of two components: X15-1 & X16A-MT2,,Y,,,,,,,,,,,,,,,,,,,"X15-1,X16A-MT2",,,,,
CNDNSR-PUMP-FTS_2_3,0.04952,,4.952E-02,,CCF of two components: X15-2 & X15-MT1,,Y,,,,,,,,,,,,,,,,,,,"X15-2,X15-MT1",,,,,
CNDNSR-PUMP-FTS_2_4,0.04952,,4.952E-02,,CCF of two components: X15-2 & X15-MT2,,Y,,,,,,,,,,,,,,,,,,,"X15-2,X15-MT2",,,,,
CNDNSR-PUMP-FTS_2_5,0.04952,,4.952E-02,,CCF of two components: X15-2 & X16A-1,,Y,,,,,,,,,,,,,,,,,,,"X15-2,X16A-1",,,,,
CNDNSR-PUMP-FTS_2_6,0.04952,,4.952E-02,,CCF of two components: X15-2 & X16A-2,,Y,,,,,,,,,,,,,,,,,,,"X15-2,X16A-2",,,,,
CNDNSR-PUMP-FTS_2_7,0.04952,,4.952E-02,,CCF of two components: X15-2 & X16A-MT1,,Y,,,,,,,,,,,,,,,,,,,"X15-2,X16A-MT1",,,,,
CNDNSR-PUMP-FTS_2_8,0.04952,,4.952E-02,,CCF of two components: X15-2 & X16A-MT2,,Y,,,,,,,,,,,,,,,,,,,"X15-2,X16A-MT2",,,,,
CNDNSR-PUMP-FTS_3_4,0.04952,,4.952E-02,,CCF of two components: X15-MT1 & X15-MT2,,Y,,,,,,,,,,,,,,,,,,,"X15-MT1,X15-MT2",,,,,
CNDNSR-PUMP-FTS_3_5,0.04952,,4.952E-02,,CCF of two components: X15-MT1 & X16A-1,,Y,,,,,,,,,,,,,,,,,,,"X15-MT1,X16A-1",,,,,
CNDNSR-PUMP-FTS_3_6,0.04952,,4.952E-02,,CCF of two components: X15-MT1 & X16A-2,,Y,,,,,,,,,,,,,,,,,,,"X15-MT1,X16A-2",,,,,
CNDNSR-PUMP-FTS_3_7,0.04952,,4.952E-02,,CCF of two components: X15-MT1 & X16A-MT1,,Y,,,,,,,,,,,,,,,,,,,"X15-MT1,X16A-MT1",,,,,
CNDNSR-PUMP-FTS_3_8,0.04952,,4.952E-02,,CCF of two components: X15-MT1 & X16A-MT2,,Y,,,,,,,,,,,,,,,,,,,"X15-MT1,X16A-MT2",,,,,
CNDNSR-PUMP-FTS_4_5,0.04952,,4.952E-02,,CCF of two components: X15-MT2 & X16A-1,,Y,,,,,,,,,,,,,,,,,,,"X15-MT2,X16A-1",,,,,
CNDNSR-PUMP-FTS_4_6,0.04952,,4.952E-02,,CCF of two components: X15-MT2 & X16A-2,,Y,,,,,,,,,,,,,,,,,,,"X15-MT2,X16A-2",,,,,
CNDNSR-PUMP-FTS_4_7,0.04952,,4.952E-02,,CCF of two components: X15-MT2 & X16A-MT1,,Y,,,,,,,,,,,,,,,,,,,"X15-MT2,X16A-MT1",,,,,
CNDNSR-PUMP-FTS_4_8,0.04952,,4.952E-02,,CCF of two components: X15-MT2 & X16A-MT2,,Y,,,,,,,,,,,,,,,,,,,"X15-MT2,X16A-MT2",,,,,
CNDNSR-PUMP-FTS_5_6,0.04952,,4.952E-02,,CCF of two components: X16A-1 & X16A-2,,Y,,,,,,,,,,,,,,,,,,,"X16A-1,X16A-2",,,,,
CNDNSR-PUMP-FTS_5_7,0.04952,,4.952E-02,,CCF of two components: X16A-1 & X16A-MT1,,Y,,,,,,,,,,,,,,,,,,,"X16A-1,X16A-MT1",,,,,
CNDNSR-PUMP-FTS_5_8,0.04952,,4.952E-02,,CCF of two components: X16A-1 & X16A-MT2,,Y,,,,,,,,,,,,,,,,,,,"X16A-1,X16A-MT2",,,,,
CNDNSR-PUMP-FTS_6_7,0.04952,,4.952E-02,,CCF of two components: X16A-2 & X16A-MT1,,Y,,,,,,,,,,,,,,,,,,,"X16A-2,X16A-MT1",,,,,
CNDNSR-PUMP-FTS_6_8,0.04952,,4.952E-02,,CCF of two components: X16A-2 & X16A-MT2,,Y,,,,,,,,,,,,,,,,,,,"X16A-2,X16A-MT2",,,,,
CNDNSR-PUMP-FTS_7_8,0.04952,,4.952E-02,,CCF of two components: X16A-MT1 & X16A-MT2,,Y,,,,,,,,,,,,,,,,,,,"X16A-MT1,X16A-MT2",,,,,
COOL-RESTORE-1,0.14,0,COOL-PMPDWNFAILED,,Cooling restored failure in a pressurized vessel (HPS PMPDWN failed),,U,,,,,,,,,,,,,,,,,,,,,,,,
COOL-RESTORE-2,0.06,0,COOL-PMPDWNSUCSS,,Cooling restored failure in an unpressurized vessel (HPS PMPDWN success),,U,,,,,,,,,,,,,,,,,,,,,,,,
COOL-RESTORE-UNPRESS,-1,,,,Load rejection offsite power lost,,U,,,,,,,,,,,,,,,,,,,,,,,,
CR3-G1-C,-1,,,,Failure to shutdown reactor on moisture detection,,,,,,,,,,,,,,,,,,,,,,,,,,
CR3-X1/2/3_1_2,0.0005528,,5.528E-04,,CCF of two components: CR3-X1-A & CR3-X2-A,,Y,,,,,,,,,,,,,,,,,,,"CR3-X1-A,CR3-X2-A",,,,,
CR3-X1/2/3_1_3,0.0005528,,5.528E-04,,CCF of two components: CR3-X1-A & CR3-X3-A,,Y,,,,,,,,,,,,,,,,,,,"CR3-X1-A,CR3-X3-A",,,,,
CR3-X1/2/3_2_3,0.0005528,,5.528E-04,,CCF of two components: CR3-X2-A & CR3-X3-A,,Y,,,,,,,,,,,,,,,,,,,"CR3-X2-A,CR3-X3-A",,,,,
CR3-X10-A,0,-,,,LMLC permits orderly plant shutdown,,E,,,,,,,,,,,,,,,,,,,,,,,,
CR3-X10-B,0,-,,,LMLC permits orderly plant shutdown,,E,,,,,,,,,,,,,,,,,,,,,,,,
CR3-X1-A,0.009950167,3,DEMAND,,Common mode power/flow sensor failure,,U,,,CR3-X1/2/3,,,,,,PPIS-SENSOR-CCF,,,,,,,,,,,,,,,
CR3-X2-A,0.009950167,3,DEMAND,,Common mode SG inlet temp sensor failure,,U,,,CR3-X1/2/3,,,,,,PPIS-SENSOR-CCF,,,,,,,,,,,,,,,
CR3-X3-A,0.009950167,3,DEMAND,,Common mode PCRV pressure sensor failure,,U,,,CR3-X1/2/3,,,,,,PPIS-SENSOR-CCF,,,,,,,,,,,,,,,
CR3-X4-A,8.999959E-06,3,DEMAND,,Common mode fault in PPIS scram logic,,U,,,,,,,,,PPIS-SCRAM-CCF,,,,,,,,,,,,,,,
CR3-X4-B,1.99998E-05,3,DEMAND,,Loss of RSCE control,,U,,,,,,,,,RSCE-CONT,,,,,,,,,,,,,,,
CR3-X5-A,9.9995E-05,3,DEMAND,,Common mode failure of 3 or more CRDM,,U,,,,,,,,,CRDM-CCF,,,,,,,,,,,,,,,
CR3-X5-B,9.99995E-06,3,DEMAND,,Failure of RSCE hopper,,U,,,,,,,,,RSCE-HOPPER,,,,,,,,,,,,,,,
CR3-X9-A,1,+,,,LMLC requires immediate reactor trip,,E,,,,,,,,,,,,,,,,,,,,,,,,
CR3-X9-B,1,+,,,LMLC requires immediate reactor trip,,E,,,,,,,,,,,,,,,,,,,,,,,,
CRW-IE,0.1,9,0.1,Y,Frequency of Control Rod Withdrawal,,I,P,,,,,,,,,,,,,,,,,,,,,,,
DEP,-1,,,,Primary Coolant Leak,,,,,,,,,,,,,,,,,,,,,,,,,,
DEP-IE,0.26,9,0.26,Y,Frequency of primary coolant leak,,I,P,,,,,,,,,,,,,,,,,,,,,,,
D-F,0.01,0,1E-2,,vessel damage fraction,,C,,,,,,,,,,,,,,,,,,,,,,,,
DUMP-FTC_1_2,2.987E-05,,2.987E-05,,CCF of two components: VLVE1-FTC & VLVE2-FTC,,Y,,,,,,,,,,,,,,,,,,,"VLVE1-FTC,VLVE2-FTC",,,,,
DUMP-FTC_1_3,2.987E-05,,2.987E-05,,CCF of two components: VLVE1-FTC & VLVE3-FTC,,Y,,,,,,,,,,,,,,,,,,,"VLVE1-FTC,VLVE3-FTC",,,,,
DUMP-FTC_1_4,2.987E-05,,2.987E-05,,CCF of two components: VLVE1-FTC & VLVE4-FTC,,Y,,,,,,,,,,,,,,,,,,,"VLVE1-FTC,VLVE4-FTC",,,,,
DUMP-FTC_2_3,2.987E-05,,2.987E-05,,CCF of two components: VLVE2-FTC & VLVE3-FTC,,Y,,,,,,,,,,,,,,,,,,,"VLVE2-FTC,VLVE3-FTC",,,,,
DUMP-FTC_2_4,2.987E-05,,2.987E-05,,CCF of two components: VLVE2-FTC & VLVE4-FTC,,Y,,,,,,,,,,,,,,,,,,,"VLVE2-FTC,VLVE4-FTC",,,,,
DUMP-FTC_3_4,2.987E-05,,2.987E-05,,CCF of two components: VLVE3-FTC & VLVE4-FTC,,Y,,,,,,,,,,,,,,,,,,,"VLVE3-FTC,VLVE4-FTC",,,,,
DUMP-FTO_1_2,8.96E-05,,8.96E-05,,CCF of two components: VLVE1-FTO & VLVE2-FTO,,Y,,,,,,,,,,,,,,,,,,,"VLVE1-FTO,VLVE2-FTO",,,,,
E-1-D,1.7E-05,0,1.7E-5,,Delay Implementation,,B,,,,,,,,,,,,,,,,,,,,,,,,
E-1-N,1.7E-05,0,1.7E-5,,Delay Implementation,,B,,,,,,,,,,,,,,,,,,,,,,,,
E-2-D,4.9E-05,0,4.9E-5,,Critical Data Not Checked with Appropriate Frequency,,B,,,,,,,,,,,,,,,,,,,,,,,,
E-2-N,4.9E-05,0,4.9E-5,,Critical Data Not Checked with Appropriate Frequency,,B,,,,,,,,,,,,,,,,,,,,,,,,
E-3-D,0.000154,0,0.000154,,Failure to Initiate Execution,,B,,,,,,,,,,,,,,,,,,,,,,,,
E-3-N,0.00014,0,0.00014,,Failure to Initiate Execution,,B,,,,,,,,,,,,,,,,,,,,,,,,
E-4-D,1.023E-05,0,1.023E-05,,Failure to Correctly Execute Response (simple task),,B,,,,,,,,,,,,,,,,,,,,,,,,
E-4-N,9.3E-06,0,9.3E-6,,Failure to Correctly Execute Response (simple task),,B,,,,,,,,,,,,,,,,,,,,,,,,
E-5-D,0,0,0,,Failure to Correctly Execute Response (complex task),,B,,,,,,,,,,,,,,,,,,,,,,,,
E-5-N,0,0,0,,Failure to Correctly Execute Response (complex task),,B,,,,,,,,,,,,,,,,,,,,,,,,
FW-FW_1_2,2.987E-05,,2.987E-05,,CCF of two components: ISOLATE-IV-FW1 & ISOLATE-IV-FW2,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-IV-FW1,ISOLATE-IV-FW2",,,,,
FWHEAT-LEAK_1_2,0.0005706,,5.706E-04,,CCF of two components: X17-1 & X17-2,,Y,,,,,,,,,,,,,,,,,,,"X17-1,X17-2",,,,,
FWHEAT-LEAK_1_3,0.0005706,,5.706E-04,,CCF of two components: X17-1 & X17-MT1,,Y,,,,,,,,,,,,,,,,,,,"X17-1,X17-MT1",,,,,
FWHEAT-LEAK_1_4,0.0005706,,5.706E-04,,CCF of two components: X17-1 & X17-MT2,,Y,,,,,,,,,,,,,,,,,,,"X17-1,X17-MT2",,,,,
FWHEAT-LEAK_2_3,0.0005706,,5.706E-04,,CCF of two components: X17-2 & X17-MT1,,Y,,,,,,,,,,,,,,,,,,,"X17-2,X17-MT1",,,,,
FWHEAT-LEAK_2_4,0.0005706,,5.706E-04,,CCF of two components: X17-2 & X17-MT2,,Y,,,,,,,,,,,,,,,,,,,"X17-2,X17-MT2",,,,,
FWHEAT-LEAK_3_4,0.0005706,,5.706E-04,,CCF of two components: X17-MT1 & X17-MT2,,Y,,,,,,,,,,,,,,,,,,,"X17-MT1,X17-MT2",,,,,
FWHEAT-LEAK2_1_2,0.0005706,,5.706E-04,,CCF of two components: X18-1 & X18-2,,Y,,,,,,,,,,,,,,,,,,,"X18-1,X18-2",,,,,
FWHEAT-LEAK2_1_3,0.0005706,,5.706E-04,,CCF of two components: X18-1 & X18-MT1,,Y,,,,,,,,,,,,,,,,,,,"X18-1,X18-MT1",,,,,
FWHEAT-LEAK2_1_4,0.0005706,,5.706E-04,,CCF of two components: X18-1 & X18-MT2,,Y,,,,,,,,,,,,,,,,,,,"X18-1,X18-MT2",,,,,
FWHEAT-LEAK2_2_3,0.0005706,,5.706E-04,,CCF of two components: X18-2 & X18-MT1,,Y,,,,,,,,,,,,,,,,,,,"X18-2,X18-MT1",,,,,
FWHEAT-LEAK2_2_4,0.0005706,,5.706E-04,,CCF of two components: X18-2 & X18-MT2,,Y,,,,,,,,,,,,,,,,,,,"X18-2,X18-MT2",,,,,
FWHEAT-LEAK2_3_4,0.0005706,,5.706E-04,,CCF of two components: X18-MT1 & X18-MT2,,Y,,,,,,,,,,,,,,,,,,,"X18-MT1,X18-MT2",,,,,
FW-STEAM_1_2,2.987E-05,,2.987E-05,,CCF of two components: ISOLATE-IV-ST1 & ISOLATE-IV-ST2,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-IV-ST1,ISOLATE-IV-ST2",,,,,
G005,0.08387274,3,IE-YEAR,,Instrument and service air service air fails,,U,,,,,,,,,B10-SERVICE-INSTRUMNTAIR-FTO,,,,,,,,,,,,,,,
G005-MT,0.0007197409,3,72H,,Instrument and service air service air fails,,U,,,,,,,,,B10-SERVICE-INSTRUMNTAIR-FTO,,,,,,,,,,,,,,,
G120-DC,0.2311043,3,IE-YEAR,,125V DC,,U,,,,,,,,,ELECTRIC-LOSS,,,,,,,,,,,,,,,
G199,0.02593769,3,IE-YEAR,,Fail Helium supply control valve,,B,,,,,,,,,B6-VLVE-HEMOVISOLATE-SOP,,,,,,,,,,,,,,,
G199-MT,0.0002159767,3,72H,,Fail Helium supply control valve,,B,,,,,,,,,B6-VLVE-HEMOVISOLATE-SOP,,,,,,,,,,,,,,,
G797,-1,,,,Frequency of primary coolant leak,,,,,,,,,,,,,,,,,,,,,,,,,,
G891,-1,,,,S/G pressure response (open/closes) fraction,,,,,,,,,,,,,,,,,,,,,,,,,,
G892,-1,,,,S/G pressure response (fails open) fraction,,,,,,,,,,,,,,,,,,,,,,,,,,
G913,0.9959,0,0.9959,,,,U,,,,,,,,,,,,,,,,,,,,,,,,
G914,0.004,0,4.00E-03,,,,U,P,,,,,,,,,,,,,,,,,,,,,,,
G916,0.0001,0,1.00E-04,,,,U,P,,,,,,,,,,,,,,,,,,,,,,,
G919,0.5,0,0.5,,,,U,P,,,,,,,,,,,,,,,,,,,,,,,
GT-IE,27,9,27,Y,Frequency of ATRS,,I,P,,,,,,,,,,,,,,,,,,,,,,,
H13-Z1,0.0002159767,3,72H,,PPIS area unit cooler "A" ruptures,,B,,,,,,,,,COOLR-ALL,,,,,,,,,,,,,,,
H13-Z2,0.0002159767,3,72H,,PPIS area unit cooler "B" ruptures,,B,,,,,,,,,COOLR-ALL,,,,,,,,,,,,,,,
HOV-ACC_1_2,2.987E-06,,2.987E-06,,CCF of two components: ISOLATE-HOV-ACC-FW1 & ISOLATE-HOV-ACC-FW2,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-HOV-ACC-FW1,ISOLATE-HOV-ACC-FW2",,,,,
HOV-ACC-STEAM_1_2,2.987E-06,,2.987E-06,,CCF of two components: ISOLATE-HOV-ACC-ST1 & ISOLATE-HOV-ACC-ST2,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-HOV-ACC-ST1,ISOLATE-HOV-ACC-ST2",,,,,
HOV-CONT-STEAM_1_2,2.987E-06,,2.987E-06,,CCF of two components: ISOLATE-HOV-MOD-ST1 & ISOLATE-HOV-MOD-ST2,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-HOV-MOD-ST1,ISOLATE-HOV-MOD-ST2",,,,,
HOV-MOD_1_2,2.987E-06,,2.987E-06,,CCF of two components: ISOLATE-HOV-MOD-FW1 & ISOLATE-HOV-MOD-FW2,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-HOV-MOD-FW1,ISOLATE-HOV-MOD-FW2",,,,,
HOV-RUPTURE_1_2,3.226E-06,,3.226E-06,,CCF of two components: ISOLATE-HOV-LR-FW1 & ISOLATE-HOV-LR-FW2,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-HOV-LR-FW1,ISOLATE-HOV-LR-FW2",,,,,
HOV-RUPTURE-STEAM_1_2,3.226E-06,,3.226E-06,,CCF of two components: ISOLATE-HOV-LR-ST1 & ISOLATE-HOV-LR-ST2,,Y,,,,,,,,,,,,,,,,,,,"ISOLATE-HOV-LR-ST1,ISOLATE-HOV-LR-ST2",,,,,
